EADARP version ecec-dirty
ARGS: --ifile=EADARP/instances/random/r8-96-00000.txt  --gamma=0.7 --only_single_s_visits=false --odir=EADARP/solutions/random/r8-96-00000 --oname=run74
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=0.7
--ifile=EADARP/instances/random/r8-96-00000.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=false
--mh_lfreq=0
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=30000
--mh_tobj=-1.0
--mh_ttime=-1.0
--odir=EADARP/solutions/random/r8-96-00000
--ofile=
--oname=run74
--only_single_s_visits=false
--prepthreshold=0.1
--repair_max_routes=0
--route_based_ops=0
--seed=2084876177
--tightened_windows=EADARP/tightened_windows
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/random/r8-96-00000.txt, n=96, n_K=8, S=[209, 210, 211], Q=14.85, n_F=8, γ=0.7, T_plan=720.0, F=[201, 202, 203, 204, 205, 206, 207, 208])

Percentage of arcs removed: 74.09537072392803%
Minimum Degree: 10
T preprocessing time [s]: 21.031
I       iter             best          obj_old          obj_new        time              method info
I          1       1191.06761     100096.00000       1191.06761      1.1550                 con 
I          2       1188.06464       1191.06761       1188.06464      1.2980        drrr_15+rroi 
I          3       1186.56589       1188.06464       1186.56589      1.4010        drrr_15+rroi 
I          4       1183.08178       1186.56589       1183.08178      1.5100         drrr_15+rrg 
I          6       1176.43069       1183.08178       1176.43069      1.7200        drrr_15+rrri 
I         10       1172.01815       1176.43069       1172.01815      1.9780         drrr_15+rrg 
I         11       1167.08574       1172.01815       1167.08574      2.0190        drrr_15+rrri 
I         12       1163.26473       1167.08574       1163.26473      2.0880        drrr_15+rroi 
I         13       1159.73597       1163.26473       1159.73597      2.1990        drrr_15+rroi 
I         14       1155.15091       1159.73597       1155.15091      2.3280        drrr_15+rrri 
I         15       1151.32917       1155.15091       1151.32917      2.4540         drrr_15+rrg 
I         16       1149.18366       1151.32917       1149.18366      2.5710        drrr_15+rrri 
I         17       1145.69340       1149.18366       1145.69340      2.6120        drrr_15+rroi 
I         19       1135.73609       1145.69340       1135.73609      2.7770         drrr_15+rrg 
I         20       1126.75758       1135.73609       1126.75758      2.8270        drrr_15+rroi 
I         21       1115.02462       1126.75758       1115.02462      2.8550         drrr_15+rrg 
I         22       1112.60171       1115.02462       1112.60171      2.9710        drrr_15+rroi 
I         27       1109.80997       1112.60171       1109.80997      3.1160        drrr_15+rrri 
I         31       1105.99974       1109.80997       1105.99974      3.2990        drrr_15+rrri 
I         32       1094.09810       1105.99974       1094.09810      3.3230        drrr_15+rrri 
I         41       1092.13532       1094.09810       1092.13532      3.6170        drrr_15+rroi 
I         65       1091.23418       1092.13532       1091.23418      4.1970        drrr_15+rroi 
I         69       1090.77607       1091.23418       1090.77607      4.2890        drrr_15+rrri 
I         74       1090.69823       1090.77607       1090.69823      4.3700         drrr_15+rrg 
I         75       1089.87339       1090.69823       1089.87339      4.3830        drrr_15+rrri 
I         79       1086.77161       1089.87339       1086.77161      4.5280         drrr_15+rrg 
I        108       1086.03559       1086.77161       1086.03559      5.0270         drrr_15+rrg 
I        109       1082.64931       1086.03559       1082.64931      5.0390         drrr_15+rrg 
I        119       1082.16470       1082.64931       1082.16470      5.1870         drrr_15+rrg 
I        129       1080.96965       1082.16470       1080.96965      5.3190         drrr_15+rrg 
I        131       1079.89221       1080.96965       1079.89221      5.3340        drrr_15+rroi 
I        133       1079.66421       1079.89221       1079.66421      5.3630        drrr_15+rroi 
I        135       1078.99125       1079.66421       1078.99125      5.3680        drrr_15+rrri 
I        149       1078.82400       1078.99125       1078.82400      5.5680         drrr_15+rrg 
I        178       1077.88801       1078.82400       1077.88801      5.8070        drrr_15+rrri 
I        184       1077.32524       1077.88801       1077.32524      5.9130         drrr_15+rrg 
I        196       1071.86849       1077.32524       1071.86849      6.0170        drrr_15+rroi 
I        208       1070.81456       1071.86849       1070.81456      6.1780        drrr_15+rroi 
I        234       1069.53161       1070.81456       1069.53161      6.3990        drrr_15+rrri 
I        236       1064.96712       1069.53161       1064.96712      6.4280        drrr_15+rrri 
I        238       1063.86948       1064.96712       1063.86948      6.4280        drrr_15+rrri 
I        239       1060.53874       1063.86948       1060.53874      6.4370        drrr_15+rrri 
I        248       1059.39270       1060.53874       1059.39270      6.5010         drrr_15+rrg 
I        249       1059.23752       1059.39270       1059.23752      6.5290        drrr_15+rrri 
I        270       1059.07028       1059.23752       1059.07028      6.7220        drrr_15+rroi 
I        294       1057.89612       1059.07028       1057.89612      6.8620        drrr_15+rrri 
I        526       1057.67141       1057.89612       1057.67141      8.3120         drrr_15+rrg 
I        531       1056.26367       1057.67141       1056.26367      8.3770        drrr_15+rrri 
I        563       1055.88975       1056.26367       1055.88975      8.6130        drrr_15+rrri 
I        566       1054.11439       1055.88975       1054.11439      8.6200        drrr_15+rroi 
I        608       1052.79758       1054.11439       1052.79758      8.8190        drrr_15+rroi 
I        621       1051.22423       1052.79758       1051.22423      8.9270        drrr_15+rrri 
I        629       1049.93784       1051.22423       1049.93784      9.0280         drrr_15+rrg 
I        631       1049.74326       1049.93784       1049.74326      9.0370        drrr_15+rrri 
I        634       1049.36934       1049.74326       1049.36934      9.0650        drrr_15+rrri 
I        637       1048.42368       1049.36934       1048.42368      9.0850        drrr_15+rroi 
I        638       1047.23371       1048.42368       1047.23371      9.0860        drrr_15+rroi 
I        640       1046.08767       1047.23371       1046.08767      9.1010        drrr_15+rroi 
I        654       1045.80819       1046.08767       1045.80819      9.2090        drrr_15+rrri 
