EADARP version e957-dirty
ARGS: ["--mh_ttime=900", "--prepthreshold=-0.0375", "--only_single_s_visits=0", "--gamma=0.7", "--ifile=EADARP/instances/l2/a180-3600.txt", "--odir=EADARP/out/l2-s0-g0.7", "--oname=a180-3600_-0.0375_16"]
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=0.7
--ifile=EADARP/instances/l2/a180-3600.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=false
--mh_lfreq=0
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=-1
--mh_tobj=-1.0
--mh_ttime=900.0
--odir=EADARP/out/l2-s0-g0.7
--ofile=
--oname=a180-3600_-0.0375_16
--only_single_s_visits=false
--prepthreshold=-0.0375
--repair_max_routes=0
--route_based_ops=0
--seed=1739104811
--tightened_windows=EADARP/tightened_windows
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/l2/a180-3600.txt, n=3600, n_K=180, S=[7563, 7564, 7565], Q=14.85, n_F=180, γ=0.7, T_plan=1200.0)

T preprocessing time [s]: 7.03495
I       iter             best          obj_old          obj_new        time              method info
I          1      34619.48255     103600.00000      34619.48255    117.7630                 con 
I          2      34579.51999      34619.48255      34579.51999    118.2255        drrr_15+rrri 
I          3      34555.74170      34579.51999      34555.74170    118.6282        drrr_15+rroi 
I          4      34522.27689      34555.74170      34522.27689    119.0508        drrr_15+rrri 
I          5      34496.76954      34522.27689      34496.76954    119.3276        drrr_15+rrri 
I          7      34480.99615      34496.76954      34480.99615    119.9212        drrr_15+rroi 
I          8      34464.53782      34480.99615      34464.53782    120.2520        drrr_15+rrri 
I          9      34451.95055      34464.53782      34451.95055    120.6231        drrr_15+rrri 
I         12      34443.01330      34451.95055      34443.01330    122.1134        drrr_15+rrri 
I         13      34431.60980      34443.01330      34431.60980    122.6597        drrr_15+rrri 
I         16      34419.56855      34431.60980      34419.56855    123.8175        drrr_15+rroi 
I         17      34411.03272      34419.56855      34411.03272    124.2381        drrr_15+rroi 
I         18      34411.00269      34411.03272      34411.00269    124.5277        drrr_15+rrri 
I         19      34406.61248      34411.00269      34406.61248    124.9296         drrr_15+rrg 
I         20      34387.78860      34406.61248      34387.78860    125.2679         drrr_15+rrg 
I         21      34385.34790      34387.78860      34385.34790    125.5531         drrr_15+rrg 
I         22      34377.84814      34385.34790      34377.84814    125.9210        drrr_15+rroi 
I         23      34368.84217      34377.84814      34368.84217    126.4200         drrr_15+rrg 
I         24      34346.89182      34368.84217      34346.89182    126.9045        drrr_15+rrri 
I         25      34335.29980      34346.89182      34335.29980    127.4251        drrr_15+rrri 
I         29      34319.28526      34335.29980      34319.28526    129.1531        drrr_15+rroi 
I         30      34285.67917      34319.28526      34285.67917    129.6233        drrr_15+rroi 
I         32      34277.64946      34285.67917      34277.64946    130.2594         drrr_15+rrg 
I         33      34273.38627      34277.64946      34273.38627    130.5516         drrr_15+rrg 
I         34      34266.62371      34273.38627      34266.62371    130.8933        drrr_15+rrri 
I         37      34246.78569      34266.62371      34246.78569    131.9012        drrr_15+rroi 
I         38      34221.65701      34246.78569      34221.65701    132.1921         drrr_15+rrg 
I         39      34208.99716      34221.65701      34208.99716    132.5697         drrr_15+rrg 
I         41      34194.93088      34208.99716      34194.93088    133.4262        drrr_15+rroi 
I         42      34193.45201      34194.93088      34193.45201    133.7718        drrr_15+rrri 
I         43      34189.30594      34193.45201      34189.30594    134.4121         drrr_15+rrg 
I         44      34185.74592      34189.30594      34185.74592    134.7702        drrr_15+rrri 
I         45      34168.95421      34185.74592      34168.95421    135.3914         drrr_15+rrg 
I         47      34162.36597      34168.95421      34162.36597    136.3286         drrr_15+rrg 
I         48      34161.44192      34162.36597      34161.44192    136.6605        drrr_15+rrri 
I         55      34156.01341      34161.44192      34156.01341    138.7246         drrr_15+rrg 
I         56      34134.74470      34156.01341      34134.74470    138.9988         drrr_15+rrg 
I         57      34129.93755      34134.74470      34129.93755    139.2754        drrr_15+rroi 
I         62      34125.53497      34129.93755      34125.53497    141.2867        drrr_15+rroi 
I         63      34119.19028      34125.53497      34119.19028    141.6162        drrr_15+rroi 
I         66      34110.96889      34119.19028      34110.96889    142.6866         drrr_15+rrg 
I         67      34105.44393      34110.96889      34105.44393    142.9248        drrr_15+rroi 
I         68      34104.38955      34105.44393      34104.38955    143.2284         drrr_15+rrg 
I         69      34079.11059      34104.38955      34079.11059    143.4789        drrr_15+rrri 
I         70      34071.10536      34079.11059      34071.10536    143.7489        drrr_15+rroi 
I         72      34064.30922      34071.10536      34064.30922    144.6857        drrr_15+rrri 
I         73      34054.10928      34064.30922      34054.10928    145.1726         drrr_15+rrg 
I         74      34042.51759      34054.10928      34042.51759    145.5430         drrr_15+rrg 
I         75      34039.36207      34042.51759      34039.36207    146.0744        drrr_15+rroi 
I         76      34037.05270      34039.36207      34037.05270    146.3078        drrr_15+rrri 
I         79      34027.68587      34037.05270      34027.68587    147.8513        drrr_15+rrri 
I         81      34024.10675      34027.68587      34024.10675    148.6537         drrr_15+rrg 
I         82      34011.14739      34024.10675      34011.14739    148.9970        drrr_15+rroi 
I         83      34006.95605      34011.14739      34006.95605    149.2332        drrr_15+rroi 
I         85      34003.89934      34006.95605      34003.89934    149.8644         drrr_15+rrg 
I         87      34000.90183      34003.89934      34000.90183    150.4038         drrr_15+rrg 
I         88      33985.93171      34000.90183      33985.93171    151.0309         drrr_15+rrg 
I         89      33978.20173      33985.93171      33978.20173    151.3199        drrr_15+rroi 
I         90      33973.75296      33978.20173      33973.75296    151.6622         drrr_15+rrg 
I         92      33964.98402      33973.75296      33964.98402    152.6049        drrr_15+rroi 
I         96      33957.77970      33964.98402      33957.77970    154.2657         drrr_15+rrg 
I         97      33952.81828      33957.77970      33952.81828    154.4495         drrr_15+rrg 
I         98      33944.85558      33952.81828      33944.85558    154.6600        drrr_15+rrri 
I         99      33942.44406      33944.85558      33942.44406    154.9644         drrr_15+rrg 
I        100      33936.80371      33942.44406      33936.80371    155.4632        drrr_15+rrri 
I        101      33936.04428      33936.80371      33936.04428    155.7777         drrr_15+rrg 
I        102      33931.12364      33936.04428      33931.12364    156.0400         drrr_15+rrg 
I        103      33917.27466      33931.12364      33917.27466    156.4016         drrr_15+rrg 
I        104      33909.79744      33917.27466      33909.79744    156.7544        drrr_15+rrri 
I        106      33902.85543      33909.79744      33902.85543    157.3716        drrr_15+rrri 
I        107      33886.89438      33902.85543      33886.89438    157.7671        drrr_15+rrri 
I        108      33882.87238      33886.89438      33882.87238    158.1346        drrr_15+rroi 
I        109      33867.73447      33882.87238      33867.73447    158.4616        drrr_15+rroi 
I        110      33852.08602      33867.73447      33852.08602    158.7747        drrr_15+rroi 
I        112      33839.66272      33852.08602      33839.66272    159.8435         drrr_15+rrg 
I        113      33832.24013      33839.66272      33832.24013    160.1660         drrr_15+rrg 
I        116      33828.87777      33832.24013      33828.87777    160.9731        drrr_15+rroi 
