EADARP version e957-dirty
ARGS: ["--mh_ttime=900", "--prepthreshold=0.0750", "--only_single_s_visits=0", "--gamma=0.7", "--ifile=EADARP/instances/l2/a220-4400.txt", "--odir=EADARP/out/l2-s0-g0.7", "--oname=a220-4400_0.0750_15"]
Settings:
--alns_gamma=0.025
--alns_segment_size=100
--alns_sigma1=10
--alns_sigma2=9
--alns_sigma3=3
--at_most_one_s=false
--gamma=0.7
--ifile=EADARP/instances/l2/a220-4400.txt
--infeasible_arcs=EADARP/infeasible_arcs
--insert_charging_otf=true
--insert_cost_noise=0.014
--lns_init_temp_factor=0.0
--lns_temp_dec_factor=0.99
--log_all_sols_fname=
--mh_checkit=false
--mh_lfreq=0
--mh_lnewinc=true
--mh_tciter=-1
--mh_tctime=-1.0
--mh_titer=-1
--mh_tobj=-1.0
--mh_ttime=900.0
--odir=EADARP/out/l2-s0-g0.7
--ofile=
--oname=a220-4400_0.0750_15
--only_single_s_visits=false
--prepthreshold=0.075
--repair_max_routes=0
--route_based_ops=0
--seed=1395931293
--tightened_windows=EADARP/tightened_windows
--use_milp_in_otf=0
--xcheck_isfeasible=false

EADARPInstance(EADARP/instances/l2/a220-4400.txt, n=4400, n_K=220, S=[9243, 9244, 9245], Q=14.85, n_F=220, γ=0.7, T_plan=1200.0)

T preprocessing time [s]: 10.81443
I       iter             best          obj_old          obj_new        time              method info
I          1      41697.96105     104400.00000      41697.96105    120.3729                 con 
I          2      41697.65234      41697.96105      41697.65234    120.6094        drrr_15+rroi 
I          3      41672.27179      41697.65234      41672.27179    120.8598         drrr_15+rrg 
I          4      41667.35748      41672.27179      41667.35748    121.1526         drrr_15+rrg 
I          5      41664.99397      41667.35748      41664.99397    121.3562         drrr_15+rrg 
I          6      41649.52454      41664.99397      41649.52454    121.6950         drrr_15+rrg 
I          7      41634.88024      41649.52454      41634.88024    121.9722        drrr_15+rrri 
I          8      41626.52320      41634.88024      41626.52320    122.2446        drrr_15+rrri 
I          9      41611.89980      41626.52320      41611.89980    122.6240        drrr_15+rrri 
I         11      41611.05337      41611.89980      41611.05337    123.1583         drrr_15+rrg 
I         12      41603.63423      41611.05337      41603.63423    123.4119        drrr_15+rrri 
I         13      41564.79125      41603.63423      41564.79125    123.6834         drrr_15+rrg 
I         14      41563.52110      41564.79125      41563.52110    124.0390        drrr_15+rrri 
I         15      41549.60418      41563.52110      41549.60418    124.4473        drrr_15+rroi 
I         16      41531.76804      41549.60418      41531.76804    124.8446        drrr_15+rroi 
I         17      41525.21711      41531.76804      41525.21711    125.2041         drrr_15+rrg 
I         18      41514.49933      41525.21711      41514.49933    125.4009        drrr_15+rrri 
I         19      41499.09102      41514.49933      41499.09102    125.6524         drrr_15+rrg 
I         20      41485.61768      41499.09102      41485.61768    125.8713        drrr_15+rrri 
I         22      41476.34091      41485.61768      41476.34091    126.4479        drrr_15+rroi 
I         23      41461.57944      41476.34091      41461.57944    126.9173        drrr_15+rroi 
I         24      41434.34472      41461.57944      41434.34472    127.2152        drrr_15+rroi 
I         25      41432.23553      41434.34472      41432.23553    127.4534        drrr_15+rroi 
I         26      41425.23421      41432.23553      41425.23421    127.8364        drrr_15+rroi 
I         27      41413.15523      41425.23421      41413.15523    128.1773         drrr_15+rrg 
I         28      41403.37610      41413.15523      41403.37610    128.9688        drrr_15+rrri 
I         30      41388.63282      41403.37610      41388.63282    129.7957        drrr_15+rroi 
I         31      41375.60596      41388.63282      41375.60596    130.0224         drrr_15+rrg 
I         33      41369.00622      41375.60596      41369.00622    130.6672         drrr_15+rrg 
I         35      41357.88467      41369.00622      41357.88467    131.1597        drrr_15+rrri 
I         37      41335.68949      41357.88467      41335.68949    131.8414        drrr_15+rroi 
I         38      41313.61635      41335.68949      41313.61635    132.1401        drrr_15+rrri 
I         39      41313.12285      41313.61635      41313.12285    132.3035        drrr_15+rroi 
I         41      41307.34728      41313.12285      41307.34728    132.8005         drrr_15+rrg 
I         42      41297.66394      41307.34728      41297.66394    133.1372        drrr_15+rroi 
I         43      41295.11388      41297.66394      41295.11388    133.4885        drrr_15+rrri 
I         44      41271.19426      41295.11388      41271.19426    133.8919         drrr_15+rrg 
I         46      41250.91174      41271.19426      41250.91174    134.5157        drrr_15+rrri 
I         47      41244.96715      41250.91174      41244.96715    134.8832        drrr_15+rrri 
I         48      41237.89374      41244.96715      41237.89374    135.2683        drrr_15+rrri 
I         51      41225.68103      41237.89374      41225.68103    136.0325         drrr_15+rrg 
I         54      41209.57513      41225.68103      41209.57513    136.7795         drrr_15+rrg 
I         57      41207.39550      41209.57513      41207.39550    137.6875         drrr_15+rrg 
I         58      41199.31554      41207.39550      41199.31554    138.0527        drrr_15+rrri 
I         60      41185.25660      41199.31554      41185.25660    139.0185        drrr_15+rroi 
I         61      41184.13338      41185.25660      41184.13338    139.3062        drrr_15+rrri 
I         63      41177.74943      41184.13338      41177.74943    140.0867         drrr_15+rrg 
I         65      41172.03876      41177.74943      41172.03876    140.5214         drrr_15+rrg 
I         67      41161.90176      41172.03876      41161.90176    141.1039         drrr_15+rrg 
I         68      41149.21878      41161.90176      41149.21878    141.3901        drrr_15+rrri 
I         69      41125.76429      41149.21878      41125.76429    141.6626        drrr_15+rroi 
I         70      41122.84673      41125.76429      41122.84673    141.8606         drrr_15+rrg 
I         71      41101.17517      41122.84673      41101.17517    142.1031        drrr_15+rrri 
I         72      41086.58078      41101.17517      41086.58078    142.4318        drrr_15+rrri 
I         75      41078.33037      41086.58078      41078.33037    143.1479        drrr_15+rrri 
I         77      41060.73431      41078.33037      41060.73431    143.8085        drrr_15+rroi 
I         78      41057.57340      41060.73431      41057.57340    144.1369        drrr_15+rrri 
I         79      41045.81182      41057.57340      41045.81182    144.3681        drrr_15+rroi 
I         81      41041.02388      41045.81182      41041.02388    144.8795        drrr_15+rroi 
I         83      41040.98095      41041.02388      41040.98095    145.3799        drrr_15+rroi 
I         84      41017.53960      41040.98095      41017.53960    145.6495        drrr_15+rroi 
I         87      41006.34810      41017.53960      41006.34810    146.4853        drrr_15+rrri 
I         88      41001.41286      41006.34810      41001.41286    146.7691        drrr_15+rrri 
I         91      40989.12855      41001.41286      40989.12855    147.5499        drrr_15+rrri 
I         92      40977.16249      40989.12855      40977.16249    147.7615        drrr_15+rroi 
I         94      40972.74519      40977.16249      40972.74519    148.6647        drrr_15+rroi 
I         95      40956.71907      40972.74519      40956.71907    149.0496         drrr_15+rrg 
I         96      40942.86390      40956.71907      40942.86390    149.4283        drrr_15+rrri 
I         97      40930.92955      40942.86390      40930.92955    149.7003         drrr_15+rrg 
I         98      40929.55082      40930.92955      40929.55082    150.1804         drrr_15+rrg 
I         99      40925.76255      40929.55082      40925.76255    150.4525        drrr_15+rroi 
I        104      40920.37932      40925.76255      40920.37932    151.6194        drrr_15+rroi 
I        105      40906.63434      40920.37932      40906.63434    151.9332         drrr_15+rrg 
I        106      40897.93962      40906.63434      40897.93962    152.2396         drrr_15+rrg 
I        107      40880.75493      40897.93962      40880.75493    152.4103         drrr_15+rrg 
I        108      40858.55482      40880.75493      40858.55482    152.7271        drrr_15+rroi 
I        110      40845.62067      40858.55482      40845.62067    153.2731        drrr_15+rroi 
I        112      40842.22396      40845.62067      40842.22396    153.7489        drrr_15+rroi 
I        113      40835.12670      40842.22396      40835.12670    154.0004         drrr_15+rrg 
I        114      40830.88222      40835.12670      40830.88222    154.2315        drrr_15+rrri 
I        115      40817.73580      40830.88222      40817.73580    154.4827         drrr_15+rrg 
I        116      40813.55175      40817.73580      40813.55175    154.7525        drrr_15+rroi 
I        120      40792.52907      40813.55175      40792.52907    155.6329        drrr_15+rroi 
I        121      40786.03031      40792.52907      40786.03031    155.9329        drrr_15+rrri 
I        126      40778.20302      40786.03031      40778.20302    156.9232        drrr_15+rrri 
I        129      40761.98734      40778.20302      40761.98734    158.2794         drrr_15+rrg 
I        131      40745.80375      40761.98734      40745.80375    158.8027        drrr_15+rrri 
I        135      40741.78261      40745.80375      40741.78261    159.9418        drrr_15+rrri 
I        136      40739.09216      40741.78261      40739.09216    160.3598        drrr_15+rrri 
I        137      40730.38873      40739.09216      40730.38873    160.5822        drrr_15+rrri 
I        141      40703.13493      40730.38873      40703.13493    161.4736        drrr_15+rroi 
I        146      40681.98260      40703.13493      40681.98260    163.0041         drrr_15+rrg 
I        147      40671.24951      40681.98260      40671.24951    163.2449        drrr_15+rroi 
I        151      40665.92439      40671.24951      40665.92439    164.2349         drrr_15+rrg 
I        152      40663.44633      40665.92439      40663.44633    164.5533         drrr_15+rrg 
I        154      40646.74012      40663.44633      40646.74012    165.0764         drrr_15+rrg 
I        161      40642.91888      40646.74012      40642.91888    166.9960        drrr_15+rrri 
I        164      40637.18367      40642.91888      40637.18367    168.1079         drrr_15+rrg 
I        169      40624.51240      40637.18367      40624.51240    169.3576        drrr_15+rrri 
I        172      40617.62735      40624.51240      40617.62735    170.2124        drrr_15+rrri 
I        173      40602.59308      40617.62735      40602.59308    170.4084        drrr_15+rroi 
I        175      40592.51732      40602.59308      40592.51732    170.9560        drrr_15+rroi 
I        177      40580.56932      40592.51732      40580.56932    171.4214        drrr_15+rrri 
I        178      40576.49663      40580.56932      40576.49663    171.6882         drrr_15+rrg 
I        179      40571.31674      40576.49663      40571.31674    171.8715         drrr_15+rrg 
I        180      40558.20720      40571.31674      40558.20720    172.1320         drrr_15+rrg 
I        182      40551.50436      40558.20720      40551.50436    172.5057        drrr_15+rrri 
I        183      40551.36599      40551.50436      40551.36599    172.9150        drrr_15+rrri 
